"gene_name"	"description"	"transcript_name"	"refseq_protein"
"SORBS2"	"sorbin and SH3 domain-containing protein 2 isoform 3"	"NM_001145670"	"NP_001139142"
"SORBS2"	"sorbin and SH3 domain-containing protein 2 isoform 6"	"NM_001145673"	"NP_001139145"
"PPHLN1"	"periphilin-1 isoform 2"	"NM_201515"	"NP_958923"
"ADGRG2"	"adhesion G-protein coupled receptor G2 isoform 9 precursor"	"NM_001184837"	"NP_001171766"
"FAAP24"	"Fanconi anemia core complex-associated protein 24 isoform 1"	"NM_152266"	"NP_689479"
"LRRC37A"	"leucine-rich repeat-containing protein 37A precursor"	"NM_014834"	"NP_055649"
"ADGRG2"	"adhesion G-protein coupled receptor G2 isoform 7 precursor"	"NM_001184835"	"NP_001171764"
"PPHLN1"	"periphilin-1 isoform 5"	"NM_201438"	"NP_958846"
"HMGB1"	"high mobility group protein B1"	"NM_001313892"	"NP_001300821"
"CD38"	"ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1"	"NM_001775"	"NP_001766"
"SLIT2"	"slit homolog 2 protein isoform 2 precursor"	"NM_001289135"	"NP_001276064"
"SLIT2"	"slit homolog 2 protein isoform 3 precursor"	"NM_001289136"	"NP_001276065"
"PLK1"	"serine/threonine-protein kinase PLK1"	"NM_005030"	"NP_005021"
"F9"	"coagulation factor IX isoform 1 preproprotein"	"NM_000133"	"NP_000124"
"F9"	"coagulation factor IX isoform 2 precursor"	"NM_001313913"	"NP_001300842"
"ATG7"	"ubiquitin-like modifier-activating enzyme ATG7 isoform b"	"NM_001136031"	"NP_001129503"
"RHOA"	"transforming protein RhoA isoform 1 precursor"	"NM_001664"	"NP_001655"
"RHOA"	"transforming protein RhoA isoform 1 precursor"	"NM_001313941"	"NP_001300870"
"RHOA"	"transforming protein RhoA isoform 2"	"NM_001313943"	"NP_001300872"
"RHOA"	"transforming protein RhoA isoform 3"	"NM_001313944"	"NP_001300873"
"RHOA"	"transforming protein RhoA isoform 5"	"NM_001313946"	"NP_001300875"
"RHOA"	"transforming protein RhoA isoform 6"	"NM_001313947"	"NP_001300876"
"RHOA"	"transforming protein RhoA isoform 4"	"NM_001313945"	"NP_001300874"
"AURKB"	"aurora kinase B isoform 5"	"NM_001313953"	"NP_001300882"
"AURKB"	"aurora kinase B isoform 7"	"NM_001313955"	"NP_001300884"
"CXXC4"	"CXXC-type zinc finger protein 4"	"NM_025212"	"NP_079488"
"CD38"	""	"NR_132660"	""
"AURKB"	""	"NR_132730"	""
"AURKB"	""	"NR_132731"	""
"PRAMEF27"	"PRAME family member 27"	"NM_001300891"	"NP_001287820"
"PRAMEF33P"	"PRAME family member 33, pseudogene"	"NM_001291381"	"NP_001278310"
"SLK"	"STE20-like serine/threonine-protein kinase isoform 1"	"NM_014720"	"NP_055535"
"SLK"	"STE20-like serine/threonine-protein kinase isoform 2"	"NM_001304743"	"NP_001291672"
"PRAMEF36P"	""	"NR_111945"	""
"LINC01615"	""	"NR_132623"	""
"LINC01615"	""	"NR_132622"	""
"LINC01616"	""	"NR_132652"	""
"LINC01618"	""	"NR_040106"	""
"PRAMEF34P"	""	"NR_111947"	""
"SHTN1"	"shootin-1 isoform a"	"NM_001127211"	"NP_001120683"
"SHTN1"	"shootin-1 isoform b"	"NM_018330"	"NP_060800"
"POFUT1"	"GDP-fucose protein O-fucosyltransferase 1 isoform 1 precursor"	"NM_015352"	"NP_056167"
"FOXM1"	"forkhead box protein M1 isoform 2"	"NM_021953"	"NP_068772"
"PARN"	"poly(A)-specific ribonuclease PARN isoform 1"	"NM_002582"	"NP_002573"
"EIF4H"	"eukaryotic translation initiation factor 4H isoform 2"	"NM_031992"	"NP_114381"
"PARN"	"poly(A)-specific ribonuclease PARN isoform 2"	"NM_001134477"	"NP_001127949"
"CSAD"	"cysteine sulfinic acid decarboxylase isoform 1"	"NM_015989"	"NP_057073"
"FASN"	"fatty acid synthase"	"NM_004104"	"NP_004095"
"SASH1"	"SAM and SH3 domain-containing protein 1"	"NM_015278"	"NP_056093"
"GPHN"	"gephyrin isoform 2"	"NM_001024218"	"NP_001019389"
"OVCH1"	"ovochymase-1 precursor"	"NM_183378"	"NP_899234"
"MCM8"	"DNA helicase MCM8 isoform 1"	"NM_032485"	"NP_115874"
"FOXM1"	"forkhead box protein M1 isoform 3"	"NM_202003"	"NP_973732"
"DHCR24"	"delta(24)-sterol reductase precursor"	"NM_014762"	"NP_055577"
"CSAD"	"cysteine sulfinic acid decarboxylase isoform 2"	"NM_001244705"	"NP_001231634"
"TBCD"	"tubulin-specific chaperone D"	"NM_005993"	"NP_005984"
"FOXM1"	"forkhead box protein M1 isoform 1"	"NM_202002"	"NP_973731"
"HIC2"	"hypermethylated in cancer 2 protein"	"NM_015094"	"NP_055909"
"FOXM1"	"forkhead box protein M1 isoform 5"	"NM_001243089"	"NP_001230018"
"RPS20"	"40S ribosomal protein S20 isoform 1"	"NM_001146227"	"NP_001139699"
"ANKRD18B"	"ankyrin repeat domain-containing protein 18B"	"NM_001244752"	"NP_001231681"
"SHISA8"	"putative protein shisa-8 precursor"	"NM_001207020"	"NP_001193949"
"GIGYF2"	"PERQ amino acid-rich with GYF domain-containing protein 2 isoform a"	"NM_001103147"	"NP_001096617"
"SNX19"	"sorting nexin-19 isoform 1"	"NM_014758"	"NP_055573"
"FOXM1"	"forkhead box protein M1 isoform 4"	"NM_001243088"	"NP_001230017"
"ITSN2"	"intersectin-2 isoform 3"	"NM_019595"	"NP_062541"
"TOPBP1"	"DNA topoisomerase 2-binding protein 1"	"NM_007027"	"NP_008958"
"CSAD"	"cysteine sulfinic acid decarboxylase isoform 3"	"NM_001244706"	"NP_001231635"
"SPAG9"	"C-Jun-amino-terminal kinase-interacting protein 4 isoform 1"	"NM_001130528"	"NP_001124000"
"PARN"	"poly(A)-specific ribonuclease PARN isoform 3"	"NM_001242992"	"NP_001229921"
"ATG5"	""	"NR_104402"	""
"MIR146A"	""	"NR_029701"	""
"PLXNB3"	"plexin-B3 isoform 1 precursor"	"NM_005393"	"NP_005384"
"CLINT1"	"clathrin interactor 1 isoform 2"	"NM_014666"	"NP_055481"
"GBF1"	"Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 isoform 1"	"NM_004193"	"NP_004184"
"TAOK2"	"serine/threonine-protein kinase TAO2 isoform 2"	"NM_004783"	"NP_004774"
"UPF2"	"regulator of nonsense transcripts 2"	"NM_080599"	"NP_542166"
"USP33"	"ubiquitin carboxyl-terminal hydrolase 33 isoform 2"	"NM_201624"	"NP_963918"
"CHST15"	"carbohydrate sulfotransferase 15 isoform 1"	"NM_015892"	"NP_056976"
"MAVS"	"mitochondrial antiviral-signaling protein isoform 1"	"NM_020746"	"NP_065797"
"LPIN2"	"phosphatidate phosphatase LPIN2"	"NM_014646"	"NP_055461"
"KIF1C"	"kinesin-like protein KIF1C"	"NM_006612"	"NP_006603"
"AARS2"	"alanine--tRNA ligase, mitochondrial"	"NM_020745"	"NP_065796"
"AGAP1"	"arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 isoform 2"	"NM_014914"	"NP_055729"
"ELMO1"	"engulfment and cell motility protein 1 isoform 2"	"NM_130442"	"NP_569709"
"SON"	"protein SON isoform B"	"NM_032195"	"NP_115571"
"PREPL"	"prolyl endopeptidase-like isoform 4"	"NM_001171613"	"NP_001165084"
"NRXN3"	"neurexin 3 isoform 1"	"NM_004796"	"NP_004787"
"SHROOM4"	"protein Shroom4"	"NM_020717"	"NP_065768"
"TAGLN2"	"transgelin-2 isoform b"	"NM_003564"	"NP_003555"
"CNTNAP2"	"contactin-associated protein-like 2 precursor"	"NM_014141"	"NP_054860"
"SORBS1"	"sorbin and SH3 domain-containing protein 1 isoform 6"	"NM_024991"	"NP_079267"
"RUSC2"	"iporin isoform 1"	"NM_014806"	"NP_055621"
"TAB2"	"TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 isoform a"	"NM_015093"	"NP_055908"
"AUTS2"	"autism susceptibility gene 2 protein isoform 2"	"NM_001127231"	"NP_001120703"
"PXDN"	"peroxidasin homolog precursor"	"NM_012293"	"NP_036425"
"TRIM2"	"tripartite motif-containing protein 2 isoform 1"	"NM_015271"	"NP_056086"
"USP17L20"	"ubiquitin carboxyl-terminal hydrolase 17-like protein 20"	"NM_001256861"	"NP_001243790"
"AHR"	"aryl hydrocarbon receptor"	"NM_001621"	"NP_001612"
"ATG5"	"autophagy protein 5 isoform a"	"NM_004849"	"NP_004840"
"ATG5"	"autophagy protein 5 isoform a"	"NM_001286106"	"NP_001273035"
"ATG5"	"autophagy protein 5 isoform b precursor"	"NM_001286107"	"NP_001273036"
"ATG5"	"autophagy protein 5 isoform c"	"NM_001286108"	"NP_001273037"
"RIMBP2"	"RIMS-binding protein 2"	"NM_015347"	"NP_056162"
"PHACTR2"	"phosphatase and actin regulator 2 isoform 1"	"NM_001100164"	"NP_001093634"
"NRCAM"	"neuronal cell adhesion molecule isoform A precursor"	"NM_001037132"	"NP_001032209"
"MAST1"	"microtubule-associated serine/threonine-protein kinase 1"	"NM_014975"	"NP_055790"
"LPIN1"	"phosphatidate phosphatase LPIN1 isoform 1"	"NM_145693"	"NP_663731"
"JPH4"	"junctophilin-4"	"NM_001146028"	"NP_001139500"
"L3MBTL3"	"lethal(3)malignant brain tumor-like protein 3 isoform b"	"NM_001007102"	"NP_001007103"
"KIF1B"	"kinesin-like protein KIF1B isoform alpha"	"NM_183416"	"NP_904325"
"EXOC7"	"exocyst complex component 7 isoform 1"	"NM_001013839"	"NP_001013861"
"SOCS5"	"suppressor of cytokine signaling 5"	"NM_014011"	"NP_054730"
"DIDO1"	"death-inducer obliterator 1 isoform b"	"NM_001193370"	"NP_001180299"
"NEDD4L"	"E3 ubiquitin-protein ligase NEDD4-like isoform 6"	"NM_001144970"	"NP_001138442"
"ACSL6"	"long-chain-fatty-acid--CoA ligase 6 isoform a"	"NM_015256"	"NP_056071"
"FNBP1"	"formin-binding protein 1"	"NM_015033"	"NP_055848"
"SORBS1"	"sorbin and SH3 domain-containing protein 1 isoform 8"	"NM_001290294"	"NP_001277223"
"RFTN1"	"raftlin"	"NM_015150"	"NP_055965"
"MYO18A"	"unconventional myosin-XVIIIa isoform a"	"NM_078471"	"NP_510880"
"TMEM63A"	"CSC1-like protein 1"	"NM_014698"	"NP_055513"
"PER1"	"period circadian protein homolog 1"	"NM_002616"	"NP_002607"
"ATG13"	"autophagy-related protein 13 isoform 2"	"NM_001205121"	"NP_001192050"
"AGAP2"	"arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 isoform PIKE-A"	"NM_014770"	"NP_055585"
"KIF14"	"kinesin-like protein KIF14 isoform 2"	"NM_001305792"	"NP_001292721"
"NEMP1"	"nuclear envelope integral membrane protein 1 isoform a precursor"	"NM_001130963"	"NP_001124435"
"PDCD11"	"protein RRP5 homolog"	"NM_014976"	"NP_055791"
"RIMS3"	"regulating synaptic membrane exocytosis protein 3"	"NM_014747"	"NP_055562"
"CAMTA1"	"calmodulin-binding transcription activator 1 isoform 2"	"NM_001195563"	"NP_001182492"
"FBXW11"	"F-box/WD repeat-containing protein 11 isoform C"	"NM_012300"	"NP_036432"
"THOC5"	"THO complex subunit 5 homolog"	"NM_003678"	"NP_003669"
"BMF"	"bcl-2-modifying factor isoform bmf-1"	"NM_033503"	"NP_277038"
"TTYH3"	"protein tweety homolog 3"	"NM_025250"	"NP_079526"
"NEURL4"	"neuralized-like protein 4 isoform 1"	"NM_032442"	"NP_115818"
"DIDO1"	"death-inducer obliterator 1 isoform c"	"NM_001193369"	"NP_001180298"
"IVNS1ABP"	"influenza virus NS1A-binding protein"	"NM_006469"	"NP_006460"
"PDE4DIP"	"myomegalin isoform 9"	"NM_001198834"	"NP_001185763"
"WDR35"	"WD repeat-containing protein 35 isoform 1"	"NM_001006657"	"NP_001006658"
"HERC3"	"probable E3 ubiquitin-protein ligase HERC3 isoform 2"	"NM_001271602"	"NP_001258531"
"ARHGAP25"	"rho GTPase-activating protein 25 isoform b"	"NM_014882"	"NP_055697"
"ACSL6"	"long-chain-fatty-acid--CoA ligase 6 isoform d"	"NM_001205248"	"NP_001192177"
"TRAM2"	"translocating chain-associated membrane protein 2"	"NM_012288"	"NP_036420"
"DIXDC1"	"dixin isoform b"	"NM_033425"	"NP_219493"
"IQGAP1"	"ras GTPase-activating-like protein IQGAP1"	"NM_003870"	"NP_003861"
"IP6K1"	"inositol hexakisphosphate kinase 1 isoform 1"	"NM_153273"	"NP_695005"
"KIF3B"	"kinesin-like protein KIF3B"	"NM_004798"	"NP_004789"
"AQR"	"intron-binding protein aquarius"	"NM_014691"	"NP_055506"
"DISC1"	"disrupted in schizophrenia 1 protein isoform Lv"	"NM_001012957"	"NP_001012975"
"PROSER1"	"proline and serine-rich protein 1"	"NM_025138"	"NP_079414"
"VASH1"	"vasohibin-1"	"NM_014909"	"NP_055724"
"MYO16"	"unconventional myosin-XVI isoform 2"	"NM_015011"	"NP_055826"
"PHF6"	"PHD finger protein 6 isoform 1"	"NM_001015877"	"NP_001015877"
"BHLHB9"	"protein BHLHb9"	"NM_001142525"	"NP_001135997"
"FLYWCH1"	"FLYWCH-type zinc finger-containing protein 1 isoform a"	"NM_032296"	"NP_115672"
"ARHGAP30"	"rho GTPase-activating protein 30 isoform 1"	"NM_001025598"	"NP_001020769"
"KIAA0513"	"uncharacterized protein KIAA0513 isoform a"	"NM_014732"	"NP_055547"
"FOXJ3"	"forkhead box protein J3 isoform 2"	"NM_001198852"	"NP_001185781"
"ZNF606"	"zinc finger protein 606"	"NM_025027"	"NP_079303"
"WDR7"	"WD repeat-containing protein 7 isoform 1"	"NM_015285"	"NP_056100"
"COBL"	"protein cordon-bleu isoform b"	"NM_015198"	"NP_056013"
"OSBP2"	"oxysterol-binding protein 2 isoform a"	"NM_030758"	"NP_110385"
"TRIM33"	"E3 ubiquitin-protein ligase TRIM33 isoform alpha"	"NM_015906"	"NP_056990"
"TTC7A"	"tetratricopeptide repeat protein 7A isoform 1"	"NM_001288951"	"NP_001275880"
"MATR3"	"matrin-3 isoform a"	"NM_001194955"	"NP_001181884"
"GDA"	"guanine deaminase isoform c"	"NM_001242506"	"NP_001229435"
"ASAP2"	"arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 isoform b"	"NM_001135191"	"NP_001128663"
"RRP8"	"ribosomal RNA-processing protein 8"	"NM_015324"	"NP_056139"
"UBE4B"	"ubiquitin conjugation factor E4 B isoform 2"	"NM_006048"	"NP_006039"
"KIF21B"	"kinesin-like protein KIF21B isoform 4"	"NM_001252103"	"NP_001239032"
"ZNF451"	"zinc finger protein 451 isoform 1"	"NM_001031623"	"NP_001026794"
"ZNF592"	"zinc finger protein 592"	"NM_014630"	"NP_055445"
"B3GAT2"	"galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2"	"NM_080742"	"NP_542780"
"PHF8"	"histone lysine demethylase PHF8 isoform 3"	"NM_001184897"	"NP_001171826"
"MTMR3"	"myotubularin-related protein 3 isoform c"	"NM_021090"	"NP_066576"
"FLRT3"	"leucine-rich repeat transmembrane protein FLRT3 precursor"	"NM_013281"	"NP_037413"
"XPO6"	"exportin-6 isoform 2"	"NM_015171"	"NP_055986"
"PLXNB2"	"plexin-B2 precursor"	"NM_012401"	"NP_036533"
"PHACTR2"	"phosphatase and actin regulator 2 isoform 4"	"NM_001100166"	"NP_001093636"
"PHYHIP"	"phytanoyl-CoA hydroxylase-interacting protein"	"NM_014759"	"NP_055574"
"UBE4B"	"ubiquitin conjugation factor E4 B isoform 1"	"NM_001105562"	"NP_001099032"
"SPPL2B"	"signal peptide peptidase-like 2B isoform 2 precursor"	"NM_152988"	"NP_694533"
"ICE1"	"little elongation complex subunit 1"	"NM_015325"	"NP_056140"
"TESPA1"	"protein TESPA1 isoform 2"	"NM_001261844"	"NP_001248773"
"ARHGAP11A"	"rho GTPase-activating protein 11A isoform 1"	"NM_014783"	"NP_055598"
"POM121"	"nuclear envelope pore membrane protein POM 121 isoform 2"	"NM_172020"	"NP_742017"
"CREBBP"	"CREB-binding protein isoform b"	"NM_001079846"	"NP_001073315"
"EFCAB14"	"EF-hand calcium-binding domain-containing protein 14"	"NM_014774"	"NP_055589"
"LDB3"	"LIM domain-binding protein 3 isoform 1"	"NM_007078"	"NP_009009"
"BHLHB9"	"protein BHLHb9"	"NM_001142530"	"NP_001136002"
"PER2"	"period circadian protein homolog 2"	"NM_022817"	"NP_073728"
"MYO18A"	"unconventional myosin-XVIIIa isoform b"	"NM_203318"	"NP_976063"
"ZC3H4"	"zinc finger CCCH domain-containing protein 4"	"NM_015168"	"NP_055983"
"SH2B1"	"SH2B adapter protein 1 isoform 2"	"NM_001145812"	"NP_001139284"
"ADCY7"	"adenylate cyclase type 7 isoform 1"	"NM_001114"	"NP_001105"
"MTUS2"	"microtubule-associated tumor suppressor candidate 2 isoform a"	"NM_001033602"	"NP_001028774"
"ANKS1A"	"ankyrin repeat and SAM domain-containing protein 1A"	"NM_015245"	"NP_056060"
"TRIM33"	"E3 ubiquitin-protein ligase TRIM33 isoform beta"	"NM_033020"	"NP_148980"
"PPRC1"	"peroxisome proliferator-activated receptor gamma coactivator-related protein 1 isoform 2"	"NM_001288727"	"NP_001275656"
"TRAPPC8"	"trafficking protein particle complex subunit 8"	"NM_014939"	"NP_055754"
"MYO1F"	"unconventional myosin-If"	"NM_012335"	"NP_036467"
"IPO13"	"importin-13"	"NM_014652"	"NP_055467"
"GRIP2"	"glutamate receptor-interacting protein 2"	"NM_001080423"	"NP_001073892"
"PNMA2"	"paraneoplastic antigen Ma2"	"NM_007257"	"NP_009188"
"PAIP2B"	"polyadenylate-binding protein-interacting protein 2B"	"NM_020459"	"NP_065192"
"TNRC6B"	"trinucleotide repeat-containing gene 6B protein isoform 2"	"NM_015088"	"NP_055903"
"ZNF365"	"protein ZNF365 isoform A"	"NM_014951"	"NP_055766"
"ANKIB1"	"ankyrin repeat and IBR domain-containing protein 1"	"NM_019004"	"NP_061877"
"SGSM2"	"small G protein signaling modulator 2 isoform 2"	"NM_001098509"	"NP_001091979"
"USP22"	"ubiquitin carboxyl-terminal hydrolase 22"	"NM_015276"	"NP_056091"
"KIRREL3"	"kin of IRRE-like protein 3 isoform 1 precursor"	"NM_032531"	"NP_115920"
"KIAA0355"	"uncharacterized protein KIAA0355"	"NM_014686"	"NP_055501"
"JAKMIP2"	"janus kinase and microtubule-interacting protein 2 isoform 1"	"NM_001270941"	"NP_001257870"
"NAV2"	"neuron navigator 2 isoform 5"	"NM_001244963"	"NP_001231892"
"RNF169"	"E3 ubiquitin-protein ligase RNF169"	"NM_001098638"	"NP_001092108"
"OTUD3"	"OTU domain-containing protein 3"	"NM_015207"	"NP_056022"
"GIT2"	"ARF GTPase-activating protein GIT2 isoform 5"	"NM_001135214"	"NP_001128686"
"KIAA1614"	"uncharacterized protein KIAA1614"	"NM_020950"	"NP_066001"
"FLRT3"	"leucine-rich repeat transmembrane protein FLRT3 precursor"	"NM_198391"	"NP_938205"
"UBXN7"	"UBX domain-containing protein 7"	"NM_015562"	"NP_056377"
"MYH10"	"myosin-10 isoform 1"	"NM_001256012"	"NP_001242941"
"SRRM4"	"serine/arginine repetitive matrix protein 4"	"NM_194286"	"NP_919262"
"PHYHIP"	"phytanoyl-CoA hydroxylase-interacting protein"	"NM_001099335"	"NP_001092805"
"TTC9"	"tetratricopeptide repeat protein 9A"	"NM_015351"	"NP_056166"
"TMEM181"	"transmembrane protein 181"	"NM_020823"	"NP_065874"
"MELK"	"maternal embryonic leucine zipper kinase isoform 1"	"NM_014791"	"NP_055606"
"TTC37"	"tetratricopeptide repeat protein 37"	"NM_014639"	"NP_055454"
"NYAP2"	"neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2"	"NM_020864"	"NP_065915"
"TESPA1"	"protein TESPA1 isoform 2"	"NM_014796"	"NP_055611"
"HDAC4"	"histone deacetylase 4"	"NM_006037"	"NP_006028"
"TLL2"	"tolloid-like protein 2 precursor"	"NM_012465"	"NP_036597"
"ZNF608"	"zinc finger protein 608"	"NM_020747"	"NP_065798"
"PHACTR2"	"phosphatase and actin regulator 2 isoform 3"	"NM_014721"	"NP_055536"
"PEG3"	"paternally-expressed gene 3 protein isoform 3"	"NM_001146187"	"NP_001139659"
"KIAA0895"	"uncharacterized protein KIAA0895 isoform 2"	"NM_015314"	"NP_056129"
"LIMCH1"	"LIM and calponin homology domains-containing protein 1 isoform f"	"NM_001289122"	"NP_001276051"
"SNRK"	"SNF-related serine/threonine-protein kinase isoform 1"	"NM_017719"	"NP_060189"
"CLINT1"	"clathrin interactor 1 isoform 3"	"NM_001195556"	"NP_001182485"
"SMC5"	"structural maintenance of chromosomes protein 5"	"NM_015110"	"NP_055925"
"FBXO40"	"F-box only protein 40"	"NM_016298"	"NP_057382"
"DCAF12"	"DDB1- and CUL4-associated factor 12"	"NM_015397"	"NP_056212"
"PHF21A"	"PHD finger protein 21A isoform b"	"NM_016621"	"NP_057705"
"KIF13B"	"kinesin-like protein KIF13B"	"NM_015254"	"NP_056069"
"MLC1"	"membrane protein MLC1"	"NM_015166"	"NP_055981"
"ICK"	"serine/threonine-protein kinase ICK"	"NM_014920"	"NP_055735"
"EPN2"	"epsin-2 isoform b"	"NM_014964"	"NP_055779"
"KIF5C"	"kinesin heavy chain isoform 5C"	"NM_004522"	"NP_004513"
"METAP1"	"methionine aminopeptidase 1"	"NM_015143"	"NP_055958"
"CUL3"	"cullin-3 isoform 1"	"NM_003590"	"NP_003581"
"BHLHB9"	"protein BHLHb9"	"NM_001142524"	"NP_001135996"
"BHLHB9"	"protein BHLHb9"	"NM_001142526"	"NP_001135998"
"ARHGAP31"	"rho GTPase-activating protein 31"	"NM_020754"	"NP_065805"
"LIMCH1"	"LIM and calponin homology domains-containing protein 1 isoform b"	"NM_001112717"	"NP_001106188"
"ITPRIP"	"inositol 1,4,5-trisphosphate receptor-interacting protein precursor"	"NM_001272013"	"NP_001258942"
"ERGIC1"	"endoplasmic reticulum-Golgi intermediate compartment protein 1"	"NM_001031711"	"NP_001026881"
"N4BP3"	"NEDD4-binding protein 3"	"NM_015111"	"NP_055926"
"DIDO1"	"death-inducer obliterator 1 isoform b"	"NM_080797"	"NP_542987"
"PALLD"	"palladin isoform 4"	"NM_001166110"	"NP_001159582"
"WHAMM"	"WASP homolog-associated protein with actin, membranes and microtubules"	"NM_001080435"	"NP_001073904"
"ANO8"	"anoctamin-8"	"NM_020959"	"NP_066010"
"XPO6"	"exportin-6 isoform 1"	"NM_001270940"	"NP_001257869"
"WDR35"	"WD repeat-containing protein 35 isoform 2"	"NM_020779"	"NP_065830"
"UBE3C"	"ubiquitin-protein ligase E3C"	"NM_014671"	"NP_055486"
"XPO5"	"exportin-5"	"NM_020750"	"NP_065801"
"MINOS1"	"MICOS complex subunit MIC10 isoform c"	"NM_001204083"	"NP_001191012"
"METTL13"	"methyltransferase-like protein 13 isoform 1"	"NM_015935"	"NP_057019"
"ANKFY1"	"rabankyrin-5 isoform 3"	"NM_001257999"	"NP_001244928"
"ZNF516"	"zinc finger protein 516"	"NM_014643"	"NP_055458"
"NTNG2"	"netrin-G2 precursor"	"NM_032536"	"NP_115925"
"USP10"	"ubiquitin carboxyl-terminal hydrolase 10 isoform 1"	"NM_001272075"	"NP_001259004"
"CAMTA2"	"calmodulin-binding transcription activator 2 isoform 1"	"NM_015099"	"NP_055914"
"ZBTB4"	"zinc finger and BTB domain-containing protein 4"	"NM_001128833"	"NP_001122305"
"TTC7A"	"tetratricopeptide repeat protein 7A isoform 2"	"NM_020458"	"NP_065191"
"ADNP2"	"ADNP homeobox protein 2"	"NM_014913"	"NP_055728"
"DOCK9"	"dedicator of cytokinesis protein 9 isoform b"	"NM_001130048"	"NP_001123520"
"DCLRE1A"	"DNA cross-link repair 1A protein"	"NM_001271816"	"NP_001258745"
"MYO9B"	"unconventional myosin-IXb isoform 2"	"NM_001130065"	"NP_001123537"
"LDB3"	"LIM domain-binding protein 3 isoform 2"	"NM_001080114"	"NP_001073583"
"INO80"	"DNA helicase INO80"	"NM_017553"	"NP_060023"
"OSBP2"	"oxysterol-binding protein 2 isoform e"	"NM_001282740"	"NP_001269669"
"STRIP2"	"striatin-interacting protein 2 isoform a"	"NM_020704"	"NP_065755"
